Austria,Belgium,Cyprus,Denmark,Finland,France,Germany,Greece,Israel,Italy,Luxembourg,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom,Yugoslavia
0,0,0,0,2,0,7,0,12,0,5,3,0,0,8,6,4,0,10,1
3,0,4,0,0,0,6,0,10,0,8,7,0,0,5,1,2,0,0,12
3,0,0,2,0,4,0,12,0,1,10,0,0,0,7,0,5,0,6,8
6,0,1,0,0,0,3,0,7,0,2,8,0,0,10,0,4,0,5,12
0,0,0,0,0,6,4,5,7,1,8,0,2,0,10,0,3,0,0,12
0,0,0,0,1,0,10,3,8,7,12,0,4,0,6,0,2,0,5,0
0,0,5,0,7,4,0,0,10,0,8,1,0,0,12,0,2,0,3,6
4,0,0,0,8,7,1,0,3,2,12,0,0,0,10,0,0,0,5,6
2,0,5,0,7,1,0,0,0,6,12,4,0,0,8,0,3,0,0,10
5,0,0,0,0,10,6,0,3,0,12,0,0,0,8,7,4,0,2,1
0,0,0,0,1,3,12,0,10,0,0,2,7,0,0,5,4,0,6,8
0,0,4,0,2,3,10,0,6,0,0,0,0,0,12,1,7,0,5,8
5,1,0,0,0,3,8,0,10,7,12,6,0,0,4,0,0,0,2,0
0,8,0,4,0,0,0,12,6,3,7,0,5,0,2,1,0,0,0,10
4,0,0,7,0,0,8,0,5,2,10,3,1,0,0,0,6,0,12,0
0,0,1,0,4,10,2,0,7,0,3,0,6,0,5,0,12,0,8,0
4,0,0,0,0,2,10,0,12,0,1,8,6,0,3,0,0,0,5,7
10,0,0,1,3,0,0,0,0,4,8,6,0,0,7,0,2,0,5,12
3,4,0,2,6,0,7,0,10,0,0,5,0,0,8,0,1,0,0,12
4,0,6,0,0,3,0,0,10,8,12,0,2,0,1,7,5,0,0,0
