Austria,Belgium,Cyprus,Denmark,Finland,France,Germany,Iceland,Ireland,Israel,Luxembourg,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom,Yugoslavia
0,6,0,0,0,0,8,0,12,0,10,0,0,7,5,4,0,2,3,1
1,0,0,0,8,0,7,0,2,0,10,5,0,3,0,12,0,6,0,4
0,10,0,7,3,0,0,4,0,0,8,6,0,0,0,5,1,0,2,12
0,10,0,0,0,0,7,0,12,0,2,5,1,3,6,4,0,0,8,0
6,12,0,0,0,0,2,0,8,0,4,0,0,1,5,7,3,0,10,0
0,12,0,5,0,0,0,0,3,1,8,4,0,6,2,7,0,0,10,0
2,1,0,7,3,0,0,0,0,0,12,6,0,0,4,0,10,8,5,0
0,10,0,7,6,0,0,0,8,0,1,4,0,2,12,3,0,0,0,5
2,12,1,4,0,0,8,0,0,0,7,6,0,5,0,10,0,0,0,3
0,5,0,10,0,0,0,0,6,0,4,0,7,0,0,12,8,3,2,1
0,10,0,0,0,0,8,0,3,0,0,0,0,7,5,12,1,6,4,2
0,8,0,10,0,3,0,0,2,1,12,0,4,0,7,5,0,0,6,0
1,12,0,5,0,0,4,0,8,0,6,0,0,3,0,10,7,0,2,0
0,10,0,5,0,0,0,6,12,0,0,0,8,0,7,4,1,0,2,3
0,6,0,4,0,3,5,2,7,0,10,0,0,0,0,12,0,0,8,1
0,10,0,3,0,7,0,0,0,5,2,6,0,1,12,0,0,8,4,0
0,10,0,4,1,0,0,5,0,0,8,2,0,0,3,12,0,6,0,7
0,12,0,0,1,0,0,2,5,0,0,0,4,8,0,10,7,0,6,3
0,10,0,6,0,0,12,0,0,0,8,0,4,1,3,5,0,2,0,7
0,10,3,0,0,0,1,0,8,0,5,0,0,4,7,6,2,12,0,0
