From country,Austria,Belgium,Bosnia & Herzegovina,Croatia,Cyprus,Estonia,Finland,France,Greece,Iceland,Ireland,Malta,Norway,Poland,Portugal,Slovakia,Slovenia,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom
Austria,0,0,0,0,2,5,0,0,0,6,7,0,8,4,1,0,0,0,10,0,12,0,3
Belgium,0,0,0,4,0,0,0,7,0,0,3,0,8,0,6,0,0,0,10,2,1,5,12
Bosnia & Herzegovina,6,0,0,10,0,0,0,0,0,0,12,0,3,7,1,0,8,0,4,0,2,5,0
Croatia,0,2,3,0,8,0,0,0,0,0,0,12,5,0,10,0,6,4,0,0,0,1,7
Cyprus,0,0,0,8,0,7,0,0,10,0,6,0,3,4,12,0,0,2,0,0,5,0,1
Estonia,7,1,0,6,0,0,0,3,0,8,12,0,5,0,0,0,0,0,10,0,4,0,2
Finland,0,0,1,0,6,12,0,2,0,0,10,0,7,0,3,0,0,0,8,4,0,5,0
France,12,0,0,0,2,1,0,0,0,0,6,0,7,0,5,0,0,0,3,0,10,4,8
Greece,2,0,0,1,12,0,0,0,0,3,10,8,0,7,5,4,0,6,0,0,0,0,0
Iceland,0,0,0,5,0,12,7,0,0,0,0,0,8,0,10,0,1,0,6,3,2,0,4
Ireland,8,0,0,6,1,2,0,0,0,10,0,0,7,0,0,0,0,0,12,4,5,0,3
Malta,12,0,3,7,2,0,0,0,1,0,4,0,0,0,0,8,0,5,0,0,0,10,6
Norway,0,0,0,7,0,8,2,4,3,5,10,1,0,0,12,0,0,0,6,0,0,0,0
Poland,8,0,0,2,0,10,0,0,1,3,12,6,4,0,0,5,0,0,0,0,7,0,0
Portugal,5,0,0,10,3,0,0,1,0,6,8,0,2,0,0,0,0,0,4,0,7,0,12
Slovakia,3,0,0,5,10,0,0,0,8,1,7,12,0,2,0,0,0,0,4,0,0,0,6
Slovenia,1,0,0,3,0,8,0,0,0,6,12,4,10,0,0,0,0,0,7,2,5,0,0
Spain,0,12,0,5,7,4,0,0,0,3,0,10,0,0,0,2,1,0,0,0,6,8,0
Sweden,0,0,0,1,2,12,0,0,3,0,7,5,10,0,4,0,0,0,0,0,8,0,6
Switzerland,0,0,0,1,5,0,0,0,2,0,12,0,7,0,10,0,0,0,8,0,3,6,4
The Netherlands,0,2,0,5,0,3,0,0,1,0,12,0,10,0,6,0,0,0,8,4,0,7,0
Turkey,4,0,6,8,0,0,0,0,0,0,12,10,2,7,5,0,0,0,0,0,1,0,3
United Kingdom,0,5,0,4,12,10,0,1,7,0,0,0,8,0,2,0,0,0,0,3,0,6,0
