From country,Austria,Belgium,Bosnia & Herzegovina,Croatia,Cyprus,Denmark,Estonia,F.Y.R. Macedonia,Finland,France,Germany,Greece,Israel,Latvia,Lithuania,Malta,Romania,Russia,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom
Austria,0,0,7,6,0,0,3,0,0,0,1,0,0,10,0,8,0,0,2,0,4,5,0,12
Belgium,5,0,0,0,3,0,4,0,0,10,0,0,2,8,0,7,0,0,0,12,1,0,0,6
Bosnia & Herzegovina,0,0,0,2,0,0,10,0,3,8,0,0,0,5,0,4,0,0,1,6,12,0,0,7
Croatia,0,0,7,0,10,0,5,4,0,0,0,1,0,2,0,12,0,0,8,6,0,0,3,0
Cyprus,1,0,0,6,0,0,0,3,2,0,0,12,0,4,0,10,8,5,0,7,0,0,0,0
Denmark,0,4,2,0,0,0,8,0,3,5,0,0,1,7,0,12,0,0,0,0,10,0,0,6
Estonia,0,0,0,0,4,0,0,0,5,3,1,0,0,12,2,7,0,10,0,0,8,0,0,6
F.Y.R. Macedonia,0,0,3,5,0,0,6,0,1,0,0,0,0,7,0,10,12,0,2,0,0,0,8,4
Finland,0,0,0,0,4,0,10,1,0,12,0,0,5,6,0,2,0,3,0,0,7,0,0,8
France,0,2,0,0,0,0,0,0,0,0,0,0,10,8,0,6,4,0,5,12,0,3,7,1
Germany,0,0,0,3,0,0,4,0,0,6,0,0,5,12,0,10,1,0,0,7,0,2,0,8
Greece,0,0,0,5,12,0,0,0,0,3,0,0,0,10,0,6,8,2,0,4,1,0,0,7
Israel,0,0,0,0,0,4,2,0,0,7,0,0,0,12,0,10,8,1,0,6,3,0,0,5
Latvia,0,0,0,0,8,0,12,0,0,2,0,0,3,0,6,7,0,10,0,0,4,1,0,5
Lithuania,0,2,0,0,4,1,7,0,0,5,0,0,0,12,0,3,0,6,0,0,10,0,0,8
Malta,0,0,3,0,12,1,2,5,0,0,4,0,0,7,0,0,6,8,0,0,0,0,0,10
Romania,0,0,0,0,8,0,2,12,0,4,1,6,5,0,0,0,0,10,0,0,0,3,7,0
Russia,1,7,0,0,6,0,3,0,0,0,2,8,0,10,4,5,12,0,0,0,0,0,0,0
Slovenia,0,0,2,12,4,0,6,0,0,3,0,0,0,5,0,10,0,0,0,0,7,1,0,8
Spain,0,1,3,0,6,0,0,0,0,8,2,0,0,12,0,10,5,0,7,0,0,0,4,0
Sweden,0,3,6,0,1,0,12,0,10,8,0,0,0,5,0,4,0,0,0,7,0,0,0,2
Switzerland,7,0,0,5,0,0,0,0,0,10,3,0,1,8,0,4,0,0,2,12,0,0,0,6
Turkey,12,10,0,0,0,1,8,0,0,0,3,0,0,6,0,5,7,0,0,0,4,0,0,2
United Kingdom,0,4,0,0,3,0,7,0,0,10,0,0,5,8,0,12,0,0,6,2,1,0,0,0
